Country_name,Population
Vatican City,792
Tokelau,1300
Niue,1618
Falkland Islands,2910
Saint Helena,4049
Montserrat,5177
Saint Pierre and Miquelon,6320
Tuvalu,11192
Nauru,11359
Wallis and Futuna,11773
Anguilla,14909
Cook Islands,17380
Palau,21729
Caribbean Netherlands,25398
British Virgin Islands,31196
San Marino,33400
Gibraltar,34571
Turks and Caicos Islands,35446
Liechtenstein,37922
Monaco,38695
Sint Maarten,40120
Faroe Islands,49290
Marshall Islands,53127
Northern Mariana Islands,55144
Saint Kitts and Nevis,55345
American Samoa,55641
Greenland,56480
Bermuda,61349
Cayman Islands,61559
Dominica,73925
Andorra,76965
Isle of Man,84287
Seychelles,94737
Antigua and Barbuda,102012
United States Virgin Islands,104901
Aruba,105264
Federated States of Micronesia,105544
Grenada,107825
Tonga,108020
Saint Vincent and the Grenadines,109897
Kiribati,116398
Curaçao,160539
Guam,164229
Guernsey and  Jersey,165314
Saint Lucia,178844
Samoa,196440
Sao Tome and Principe,204327
Mayotte,253045
Vanuatu,276244